X,Y,Z
-30.453332,-7.742944,0.000000
-30.561632,-7.860075,0.000000
-30.675299,-8.003715,0.000000
-30.799708,-8.194792,0.000000
-30.927596,-8.442616,0.000000
-31.046779,-8.749448,0.000000
-31.143750,-9.112137,0.000000
-31.205786,-9.523108,0.000000
-31.222335,-9.971237,0.000000
-31.185986,-10.442799,0.000000
-31.093079,-10.922501,0.000000
-30.940626,-11.393319,0.000000
-30.726393,-11.837334,0.000000
-30.468746,-12.244605,0.000000
-30.179027,-12.604188,0.000000
-29.870931,-12.908460,0.000000
-29.559478,-13.153644,0.000000
-29.259777,-13.340065,0.000000
-28.985551,-13.472096,0.000000
-28.747268,-13.557752,0.000000
-28.549314,-13.607879,0.000000
-28.384419,-13.634856,0.000000
-28.218415,-13.651316,0.000000
-27.932399,-13.677872,0.000000
-27.050912,-13.923062,0.000000
-25.596151,-15.903587,0.000000
-25.757086,-17.216362,0.000000
-25.906932,-17.560211,0.000000
-25.983228,-17.724500,0.000000
-26.043437,-17.874417,0.000000
-26.100340,-18.057977,0.000000
-26.149276,-18.292160,0.000000
-26.179386,-18.580991,0.000000
-26.178397,-18.921004,0.000000
-26.135084,-19.303619,0.000000
-26.040744,-19.716672,0.000000
-25.890093,-20.145690,0.000000
-25.681767,-20.575096,0.000000
-25.418470,-20.989382,0.000000
-25.101606,-21.369771,0.000000
-24.740917,-21.703376,0.000000
-24.355091,-21.985837,0.000000
-23.958865,-22.211607,0.000000
-23.567803,-22.379121,0.000000
-23.197126,-22.490869,0.000000
-22.860442,-22.553134,0.000000
-22.568339,-22.575349,0.000000
-22.326659,-22.568942,0.000000
-22.133804,-22.545376,0.000000
-21.974826,-22.512524,0.000000
-21.802931,-22.467024,0.000000
-21.457147,-22.381971,0.000000
-20.218874,-22.412947,0.000000
-18.433306,-24.137584,0.000000
-18.319281,-25.109925,0.000000
-18.343090,-25.409441,0.000000
-18.356212,-25.577682,0.000000
-18.358903,-25.743531,0.000000
-18.345007,-25.944998,0.000000
-18.303707,-26.192230,0.000000
-18.223524,-26.483214,0.000000
-18.094622,-26.809287,0.000000
-17.910140,-27.157836,0.000000
-17.666938,-27.514107,0.000000
-17.365921,-27.862652,0.000000
-17.012023,-28.188600,0.000000
-16.613881,-28.478773,0.000000
-16.178306,-28.713833,0.000000
-15.722528,-28.891435,0.000000
-15.264156,-29.011984,0.000000
-14.818904,-29.076227,0.000000
-14.401644,-29.088887,0.000000
-14.025292,-29.058260,0.000000
-13.699699,-28.995452,0.000000
-13.430552,-28.913175,0.000000
-13.218059,-28.823899,0.000000
-13.054791,-28.736695,0.000000
-12.920164,-28.650698,0.000000
-12.759984,-28.538020,0.000000
-12.375527,-28.294732,0.000000
-10.762205,-27.990019,0.000000
-8.873197,-29.280895,0.000000
-8.599675,-29.951427,0.000000
-8.535554,-30.191632,0.000000
-8.490500,-30.347236,0.000000
-8.431440,-30.508748,0.000000
-8.341224,-30.700928,0.000000
-8.207020,-30.926155,0.000000
-8.019553,-31.176972,0.000000
-7.773455,-31.441059,0.000000
-7.467547,-31.703903,0.000000
-7.104859,-31.950612,0.000000
-6.692381,-32.167319,0.000000
-6.240555,-32.342307,0.000000
-5.762545,-32.466889,0.000000
-5.271202,-32.522887,0.000000
-4.784669,-32.521298,0.000000
-4.318613,-32.466248,0.000000
-3.887147,-32.364638,0.000000
-3.502016,-32.226678,0.000000
-3.171717,-32.065047,0.000000
-2.900759,-31.893717,0.000000
-2.689049,-31.726332,0.000000
-2.531278,-31.573784,0.000000
-2.415747,-31.439905,0.000000
-2.320331,-31.311548,0.000000
-2.192809,-31.128188,0.000000
-1.809019,-30.670984,0.000000
0.110905,-29.927417,0.000000
1.862937,-30.725093,0.000000
2.206061,-31.146996,0.000000
2.327605,-31.321834,0.000000
2.423346,-31.449428,0.000000
2.541455,-31.584560,0.000000
2.702956,-31.738479,0.000000
2.918995,-31.906590,0.000000
3.194461,-32.077682,0.000000
3.529082,-32.238015,0.000000
3.918028,-32.373664,0.000000
4.352531,-32.472099,0.000000
4.820636,-32.523334,0.000000
5.308091,-32.520740,0.000000
5.798978,-32.459430,0.000000
6.275528,-32.330844,0.000000
6.724830,-32.152384,0.000000
7.133896,-31.932988,0.000000
7.492522,-31.684567,0.000000
7.793998,-31.421109,0.000000
8.035604,-31.157529,0.000000
8.218840,-30.908245,0.000000
8.349377,-30.685321,0.000000
8.436769,-30.495696,0.000000
8.494110,-30.335909,0.000000
8.539043,-30.178482,0.000000
8.607637,-29.923727,0.000000
8.926720,-29.190277,0.000000
10.965009,-27.970566,0.000000
12.424541,-28.321909,0.000000
12.775455,-28.548964,0.000000
12.930116,-28.657455,0.000000
13.065671,-28.743085,0.000000
13.232138,-28.830599,0.000000
13.448737,-28.919733,0.000000
13.722202,-29.001000,0.000000
14.051858,-29.061825,0.000000
14.431665,-29.089561,0.000000
14.851503,-29.073279,0.000000
15.298272,-29.004930,0.000000
15.756997,-28.880076,0.000000
16.211948,-28.698280,0.000000
16.645031,-28.458504,0.000000
17.040228,-28.165245,0.000000
17.390416,-27.837117,0.000000
17.687219,-27.487463,0.000000
17.925998,-27.131236,0.000000
18.106154,-26.783878,0.000000
18.231121,-26.460037,0.000000
18.308016,-26.172096,0.000000
18.346854,-25.928334,0.000000
18.359159,-25.730099,0.000000
18.355565,-25.565927,0.000000
18.341668,-25.394312,0.000000
18.317642,-25.072810,0.000000
18.479233,-24.001390,0.000000
20.377665,-22.375849,0.000000
21.498222,-22.390444,0.000000
21.818491,-22.471310,0.000000
21.986293,-22.515275,0.000000
22.146791,-22.547523,0.000000
22.343013,-22.570151,0.000000
22.588534,-22.574825,0.000000
22.884255,-22.549987,0.000000
23.223903,-22.484303,0.000000
23.596608,-22.368547,0.000000
23.988597,-22.196700,0.000000
24.384580,-21.966574,0.000000
24.769014,-21.680036,0.000000
25.127270,-21.342924,0.000000
25.439999,-20.959165,0.000000
25.699356,-20.543227,0.000000
25.903400,-20.113304,0.000000
26.049730,-19.684950,0.000000
26.140013,-19.273699,0.000000
26.179812,-18.893894,0.000000
26.178056,-18.557476,0.000000
26.146107,-18.272698,0.000000
26.096238,-18.042566,0.000000
26.039048,-17.862341,0.000000
25.978415,-17.713630,0.000000
25.899405,-17.544334,0.000000
25.740028,-17.170285,0.000000
25.627482,-15.719227,0.000000
27.161816,-13.874107,0.000000
27.964342,-13.674179,0.000000
28.232596,-13.650142,0.000000
28.396136,-13.633355,0.000000
28.562822,-13.605080,0.000000
28.763745,-13.552708,0.000000
29.004974,-13.463921,0.000000
29.281527,-13.328048,0.000000
29.582613,-13.137322,0.000000
29.894345,-12.887666,0.000000
30.201574,-12.579065,0.000000
30.489339,-12.215596,0.000000
30.744089,-11.805153,0.000000
30.954693,-11.358900,0.000000
31.102025,-10.886594,0.000000
31.190652,-10.406954,0.000000
31.222858,-9.936632,0.000000
31.202597,-9.490840,0.000000
31.137541,-9.083143,0.000000
31.038443,-8.724430,0.000000
30.918141,-8.421976,0.000000
30.790125,-8.178560,0.000000
30.666364,-7.991468,0.000000
30.553525,-7.850743,0.000000
30.444712,-7.734173,0.000000
30.295900,-7.586346,0.000000
29.948799,-7.189157,0.000000
29.444929,-5.379251,0.000000
30.497046,-3.560467,0.000000
31.028791,-3.249296,0.000000
31.234921,-3.153924,0.000000
31.378203,-3.082354,0.000000
31.529567,-2.992576,0.000000
31.706524,-2.864822,0.000000
31.907627,-2.686765,0.000000
32.123206,-2.451164,0.000000
32.339896,-2.155447,0.000000
32.543157,-1.801518,0.000000
32.718998,-1.395444,0.000000
32.855264,-0.946937,0.000000
32.942627,-0.468635,0.000000
