X,Y,Z
-7.114559,-31.994237,0.000000
-6.700289,-32.205330,0.000000
-6.246702,-32.374161,0.000000
-5.767008,-32.492035,0.000000
-5.276232,-32.553921,0.000000
-4.790186,-32.558795,0.000000
-4.324394,-32.509709,0.000000
-3.893022,-32.413556,0.000000
-3.507869,-32.280537,0.000000
-3.177482,-32.123326,0.000000
-2.906414,-31.955893,0.000000
-2.694604,-31.791880,0.000000
-2.536761,-31.642180,0.000000
-2.421181,-31.510626,0.000000
-2.325706,-31.384074,0.000000
-2.198009,-31.202006,0.000000
-1.813421,-30.745614,0.000000
0.111183,-30.002416,0.000000
1.867460,-30.799677,0.000000
2.211284,-31.220735,0.000000
2.332986,-31.394242,0.000000
2.428784,-31.519993,0.000000
2.546942,-31.652761,0.000000
2.708518,-31.803792,0.000000
2.924658,-31.968492,0.000000
3.200234,-32.135647,0.000000
3.534939,-32.291521,0.000000
3.923901,-32.422190,0.000000
4.358299,-32.515130,0.000000
4.826124,-32.560363,0.000000
5.313074,-32.551269,0.000000
5.803564,-32.485098,0.000000
6.281804,-32.363178,0.000000
6.732872,-32.190835,0.000000
7.143731,-31.977012,0.000000
7.504124,-31.733632,0.000000
7.807289,-31.474693,0.000000
8.050458,-31.215123,0.000000
8.235089,-30.969353,0.000000
8.366828,-30.749455,0.000000
8.455215,-30.562373,0.000000
8.513356,-30.404644,0.000000
8.558934,-30.248779,0.000000
8.628153,-29.995052,0.000000
8.948611,-29.261863,0.000000
10.992376,-28.040376,0.000000
12.454505,-28.390212,0.000000
12.805547,-28.616210,0.000000
12.959826,-28.723303,0.000000
13.094759,-28.807074,0.000000
13.260428,-28.892238,0.000000
13.476075,-28.978520,0.000000
13.748432,-29.056434,0.000000
14.076801,-29.113412,0.000000
14.455112,-29.136822,0.000000
14.873200,-29.115754,0.000000
15.317920,-29.042181,0.000000
15.774247,-28.911693,0.000000
16.226409,-28.723877,0.000000
16.658997,-28.482383,0.000000
17.058040,-28.194687,0.000000
17.411948,-27.871584,0.000000
17.712300,-27.526440,0.000000
17.954410,-27.174238,0.000000
18.137636,-26.830449,0.000000
18.265372,-26.509748,0.000000
18.344703,-26.224543,0.000000
18.385624,-25.983126,0.000000
18.399655,-25.786854,0.000000
18.397441,-25.624252,0.000000
18.384624,-25.453785,0.000000
18.361536,-25.132891,0.000000
18.524946,-24.060763,0.000000
20.428123,-22.431255,0.000000
21.549769,-22.444130,0.000000
21.869619,-22.523967,0.000000
22.036489,-22.566678,0.000000
22.195688,-22.597305,0.000000
22.390285,-22.617903,0.000000
22.633866,-22.620128,0.000000
22.927324,-22.592427,0.000000
23.264369,-22.523481,0.000000
23.634103,-22.404090,0.000000
24.022717,-22.228272,0.000000
24.414885,-21.993874,0.000000
24.795029,-21.702806,0.000000
25.148488,-21.360946,0.000000
25.462556,-20.977749,0.000000
25.727364,-20.565616,0.000000
25.936549,-20.139043,0.000000
26.087676,-19.713625,0.000000
26.182380,-19.304937,0.000000
26.226189,-18.927364,0.000000
26.228009,-18.592887,0.000000
26.199182,-18.309790,0.000000
26.151967,-18.081097,0.000000
26.096965,-17.902071,0.000000
26.038066,-17.754304,0.000000
25.960377,-17.585636,0.000000
25.802062,-17.211666,0.000000
25.691395,-15.758430,0.000000
27.228490,-13.908163,0.000000
28.031035,-13.706791,0.000000
28.298401,-13.681957,0.000000
28.460527,-13.664270,0.000000
28.625335,-13.634857,0.000000
28.823938,-13.581069,0.000000
29.062407,-13.490581,0.000000
29.335753,-13.352730,0.000000
29.633172,-13.159775,0.000000
29.940760,-12.907676,0.000000
30.243345,-12.596463,0.000000
30.525946,-12.230263,0.000000
30.774992,-11.817019,0.000000
30.979338,-11.367944,0.000000
31.131062,-10.896757,0.000000
31.226014,-10.418753,0.000000
31.264093,-9.949755,0.000000
31.249236,-9.505027,0.000000
31.189100,-9.098184,0.000000
31.094421,-8.740165,0.000000
30.978028,-8.438289,0.000000
30.853403,-8.195368,0.000000
30.732511,-8.008706,0.000000
30.622021,-7.868343,0.000000
30.515047,-7.752041,0.000000
30.367584,-7.604296,0.000000
30.021443,-7.206595,0.000000
29.518707,-5.392729,0.000000
30.571313,-3.569138,0.000000
31.102415,-3.257006,0.000000
31.307316,-3.161234,0.000000
31.448843,-3.089293,0.000000
31.597939,-2.999065,0.000000
31.772118,-2.870749,0.000000
31.969929,-2.692011,0.000000
32.181702,-2.455628,0.000000
32.394067,-2.159058,0.000000
32.592480,-1.804248,0.000000
32.762944,-1.397318,0.000000
32.893303,-0.948033,0.000000
32.974230,-0.469084,0.000000
